Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Owner,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
A Bike Store,Herbert Dorner,555-0136,ABSS4G45,,,Renton,U.S.,,,,,,,,,,TX,5009 Orange Street,,,,,,,20175,,,,,,,,,,,,,,,,,,,,,,,555-0126,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Active Cycling,Adrian Dumitrascu,555-0135,ACTBBDC3,,,Dallas,U.S.,,,,,,,,,,TX,100 Red Oak Lane,,,,,,,20313,,,,,,,,,,,,,,,,,,,,,,,555-0149,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,,Adrian Dumitrascu,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Advanced Bike Components,Darrius Stasevicius,555-0162,ABC28UU7,,,Santa Cruz,U.S.,,,,,,,,,,TX,4405 Balboa Court,,,,,,,95486,,,,,,,,,,,,,,,,,,,,,,,555-0171,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Affordable Sports Equipment,Paul Alcorn,555-0174,AFFSE9IK,,,Lynnwood,U.S.,,,,,,,,,,TN,7995 Edwards Ave.,,,,,,,58299,,,,,,,,,,,,,,,,,,,,,,,555-0148,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
All Cycle Shop,Mike Miller,555-0145,ACSHN2S4,Default Value,,Los Angeles,U.S.,,,,,,,,,,KA,9068 Muir Road,,,,,,,20593,,,,,,,,,,,,,,,,,,,,,,,555-0161,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Amazing sports store,Jan Stoklasa,555-0197,,Default Value,,Redmond,U.S.,,,,,,,,,,WA,3397 Rancho View Drive,,,,,,,90000,,,,,,,,,,,,,,,,,,,,,,,555-0142,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Amuzing bikes,Y Wong,555-0131,,Default Value,,Redmond,U.S.,,,,,,,,,,WA,9906 Oak Grove Road,,,,,,,80803,,,,,,,,,,,,,,,,,,,,,,,555-0164,,,,,,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Another Bicycle Company,Yvonne McKay,555-0127,ABCO9M32,,,Missoula,U.S.,,,,,,,,,,TX,2313 B Southampton Rd,,,,,,,58047,,,,,,,,,,,,,,,,,,,,,,,555-0137,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Astonishing bikes,Parul Shah,555-0135,,Default Value,,Redmond,U.S.,,,,,,,,,,WA,2137 Birchwood Dr,,,,,,,78214,,,,,,,,,,,,,,,,,,,,,,,555-0126,,,,,,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Alan Jackson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Basic Bike Company,Allison Brown,555-0116,BABCO88H,,,Phoenix,U.S.,,,,,,,,,,CA,137 Lancelot Dr,,,,,,,10032,,,,,,,,,,,,,,,,,,,,,,,555-0132,,,,,,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
